9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
16254885,20051201,article,"xref,mesh","Acetates,Animals,Antimutagenic Agents,Arsenites,Bone Marrow,Desiccation,Flowers,Free Radical Scavengers,Hibiscus,Hydrogen Peroxide,Hydroxyl Radical,Kinetics,Lipid Peroxidation,Micronuclei, Chromosome-Defective,NADP,Phenols,Rats,Sodium Compounds,Solubility,Superoxides","analysis,chemistry,drug effects,pharmacology,ultrastructure","D001853 Q000648 NN,D035264 Q000737 NY,D016166 Q000737 NY,D009249 Q000494 NN,D018053 Q000494 NN,D031584 Q000737 NY,D016587 Q000494 NY,D015227 Q000187 NN,D010636 Q000737 NY,D010636 Q000032 NN,D017670 Q000494 NN,D010636 Q000494 NY","784,5884,5885,5886,6212,8857,10964,14985,443495,2734411,5280343,5359597,15938972,15983949,16219760,42609791,52945042,129893609","128011809,128047904,129116523,129627858,129677094",Free radical scavenging and antigenotoxic activities of natural phenolic compounds in dried flowers of Hibiscus sabdariffa L.,"The antioxidant and free radical scavenging effects of two fractions of the ethanolic extract (HSCF, chloroform soluble fraction and HSEA, ethyl acetate soluble fraction) obtained from the dried flowers of Hibiscus sabdariffa L were investigated. The total antioxidant activity of the extracts was estimated to be 4.6 and 8.6 mM of vitamin C for HSCF and HSEA, respectively. Both HSCF and HSEA scavenged hydrogen peroxide (H(2)O(2)) (79-94%) at the dose of 500 microg. Similarly, the extracts showed inhibitory (",Molecular nutrition & food research,"Ebenezer Olatunde Farombi, Akindele Fakoya"," Drug Metabolism and Toxicology Unit, Department of Biochemistry, College of Medicine, University of Ibadan, Ibadan, Nigeria. olatunde_farombi@yahoo.com",2005 Dec;49(12):1120-8,10.1002/mnfr.200500084
16356125,20050101,article,"xref,mesh","Animals,Catechols,Cell Differentiation,Cell Line,Diterpenes,Fatty Alcohols,Gene Expression Regulation,Humans,I-kappa B Kinase,Inflammation,Inflammation Mediators,Lipopolysaccharides,Macrophages,Mice,Naphthalenes,Plant Extracts,Reactive Nitrogen Species,Reactive Oxygen Species,Spiro Compounds,Zingiberaceae","biosynthesis,chemistry,cytology,drug effects,genetics,metabolism,pharmacology","D005233 Q000494 NN,D008070 Q000494 NN,D005786 Q000187 NY,D026361 Q000096 NY,D030521 Q000737 NY,D051550 Q000378 NN,D008264 Q000378 NY,D013141 Q000494 NN,D004224 Q000494 NN,D009281 Q000494 NN,D010936 Q000494 NY,D008264 Q000166 NN,D007249 Q000235 NN,D017382 Q000378 NY,D008264 Q000187 NY","1188,5884,6212,107854,168115,442793,545800,6439042,9905088,21668974,56993665,91047778,131752056","128047904,128530096,128718111,129704387,135761161,136210299,245212903","Suppressive effects of mioga ginger and ginger constituents on reactive oxygen and nitrogen species generation, and the expression of inducible pro-inflammatory genes in macrophages.","We previously conducted screening tests of the chloroform extracts from a total of 89 species of Japanese plant food items for their suppressive effects on superoxide (O(2) ()) generation through both NADPH oxidase and xanthine oxidase, and reported that mioga ginger (Zingiber mioga Roscoe) indicated the strongest suppressive activities. In this study, the suppressive effects of mioga ginger constituents, aframodial, and galanal B, together with [6]-gingerol and galanolactone occurring in ginger, on free ra",Antioxidants & redox signaling,"Ha Won Kim, Akira Murakami, Masako Abe, Yoshio Ozawa, Yasujiro Morimitsu, Marshall V Williams, Hajime Ohigashi"," Division of Food Science and Biotechnology, Graduate School of Agriculture, Kyoto University, Kyoto 606-8501, Japan.",2005 Jan;7(?):1621-9,10.1089/ars.2005.7.1621
16413222,20060131,article,xref,"Animals,Cities,DNA Damage,Daphnia,Frameshift Mutation,Geologic Sediments,Micronucleus Tests,Microsomes,Reproduction,Risk Assessment,Salmonella,Survival,Water Pollutants, Chemical,Water Supply","chemistry,genetics,standards,toxicity","D014874 Q000633 NY,D014881 Q000592 NY,D012475 Q000235 NN,D019015 Q000737 NN","1140,4685,6212,6359,7237,7500","127676247,127870114,128047904,128788649,129821860,129861263",Genotoxicity and toxicity assessment in urban hydrographic basins.,"The genotoxicity and cytotoxicity of water in small urban basins was evaluated by the Salmonella/microsome assay and micronucleus test in V79 cells. The results showed that the cytotoxic effect was the most significant response in areas with medium to heavy urban occupation for both assays evaluated. Water samples from these areas include different concentrations of chloroform, bromodichloromethane, toluene, ethylbenzene, m,p-xylene and 1,4-dichlorobenzene. As to genotoxic damage, the presence of mainly dir",Mutation research,"Tatiane Rocha Cardozo, Danielle Pereira Rosa, Ilda Rosa Feiden, Jocelita Aparecida Vaz Rocha, Nânci Cristina D'Avila de Oliveira, Tatiana da Silva Pereira, Thienne Flores Pastoriza, David da Motta Marques, Clarice Torres de Lemos, Nara Regina Terra, Vera Maria Ferrão Vargas"," Programa de Pesquisas Ambientais, Fundação Estadual de Proteção Ambiental Henrique Luis Roessler (FEPAM), Avenida Dr. Salvador França, 1707 CEP, 90690-000 Porto Alegre, RS, Brazil.",2006 Jan;603(1):83-96,10.1016/j.mrgentox.2005.11.011
16435988,20050101,article,"xref,mesh","Animals,Cell Culture Techniques,Granulocyte Precursor Cells,HL-60 Cells,Humans,Japan,Macrophages,Mice,Nitric Oxide,Plant Extracts,Plant Structures,Plants, Edible,Sesquiterpenes,Stilbenes,Superoxides","drug effects,metabolism,pharmacology","D008264 Q000378 NN,D010936 Q000494 NN,D013267 Q000494 NN,D013481 Q000378 NY,D012717 Q000494 NN,D009569 Q000378 NY,D042381 Q000378 NN,D042381 Q000187 NY,D008264 Q000187 NY","5056,5988,6212,145068,250397,442070,5359597","127700385,128047904,128542940,129021022,136048449",Suppressive effects of Okinawan food items on free radical generation from stimulated leukocytes and identification of some active constituents: implications for the prevention of inflammation-associated carcinogenesis.,"Okinawa prefecture in Japan is a distinct area characterized by unique traditional food habits and longevity. Prolonged exposure to activated leukocytes, playing pivotal roles in chronic inflammation-associated carcinogenesis, is known to lead to oxidative and nitrosative damage to macromolecules in the body since they are primary sources of free radicals, such as superoxide anion (O(2)(-)) and nitric oxide (NO). In this study, we estimated anti-oxidative and anti-nitrosative activities of Okinawan food ite",Asian Pacific journal of cancer prevention : APJCP,"Akira Murakami, Hisashi Ishida, Kimie Kobo, Ikuyo Furukawa, Yasutaka Ikeda, Megumi Yonaha, Yohko Aniya, Hajime Ohigashi"," Division of Food Science and Biotechnology, Graduate School of Agriculture, Kyoto University, Kyoto 606-8502, Japan. cancer@kais.kyoto-u.ac.jp",2005 Jan;6(4):437-48,NULL
16545930,20060607,article,"xref,mesh","Chromatography, High Pressure Liquid,Drug Stability,Magnetic Resonance Spectroscopy,Organic Chemicals,Sirolimus,Solvents,Spectrophotometry, Ultraviolet,Volatilization","chemistry,methods","D002851 Q000379 NY,D020123 Q000737 NY,D009930 Q000737 NY,D012997 Q000737 NY","180,702,6212,6344,8003,8028,8058,8857,5284616,91454826,91534498","127669892,128047904,128482492,128799830,129491807,129653995,129677094,129818630,248184126,248766214",Evaluation of rapamycin chemical stability in volatile-organic solvents by HPLC.,"Rapamycin or sirolimus is a carboxylic lactone-lactam macrolide with a potent immunosuppressive activity. It can be successfully used to impregnate stents inserted in coronary arteries during surgical applications, preventing fatal infection and rejection adverse effect. The chemical stability of rapamycin in several organic-volatile solvents (acetone, chloroform, dichloromethane, hexane, ethyl alcohol, ethyl acetate, methyl alcohol, pentane and tetrahydrofurane) was established by HPLC-DAD-MS in reverse ph",Journal of pharmaceutical and biomedical analysis,"Massimo Ricciutelli, Piera Di Martino, Luciano Barboni, Sante Martelli"," Laboratory of HPLC, Department of Chemical Sciences, Via S. Agostino, 62032 Camerino, Italy.",2006 Jun;41(3):1070-4,10.1016/j.jpba.2006.02.009
16662404,19820601,article,NULL,NULL,NULL,NULL,NULL,NULL,"Peroxidation of tobacco membrane lipids by the photosensitizing toxin, cercosporin.","Cercosporin, a nonspecific toxin from Cercospora species, is a photosensitizing compound which rapidly kills plant cells in the light. Cell death appears to be due to a cercosporin-mediated peroxidation of membrane lipids. Tobacco leaf discs treated with cercosporin showed a large increase in electrolyte leakage 1 to 2 minutes after irradiation with light. All tobacco protoplasts exposed to cercosporin in the light were damaged within 45 minutes. Chloroform:methanol extracts of toxin-treated suspension cult",Plant physiology,M E Daub," Department of Crop and Soil Sciences, Michigan State University, East Lansing, Michigan 48824.",1982 Jun;69(6):1361-4,10.1104/pp.69.6.1361
16685681,20060701,article,xref,"Animals,Apium graveolens,Carbon Tetrachloride Poisoning,Female,Free Radical Scavengers,Lipid Peroxidation,Male,Mice,Mice, Inbred BALB C,Oxidative Stress,Plant Extracts,Plant Leaves,Plant Roots","chemistry,drug effects,drug therapy,metabolism,pharmacology","D002252 Q000378 NY,D010936 Q000494 NN,D016166 Q000737 NN,D028525 Q000737 NY,D002252 Q000188 NY,D015227 Q000187 NN,D018384 Q000187 NY,D018517 Q000737 NN,D016166 Q000494 NN,D018515 Q000737 NN","263,702,5943,6212,8857","128047904,128482492,128530390,129548391,129677094",Effect of celery (Apium graveolens) extracts on some biochemical parameters of oxidative stress in mice treated with carbon tetrachloride.,"Extracts of celery leaves and roots in ether, chloroform, ethyl acetate, n-butanol and water were evaporated to dryness and dissolved in 50% ethanol to make 10% (w[sol ]v) solutions. The potential protective action of the extracts was assessed by the corresponding in vitro and in vivo tests. In the in vitro experiments crude methanol extracts were tested as potential scavengers of free OH* and DPPH* radicals, as well as inhibitors of liposomal peroxidation (LPx). Analogous experiments were also carried out ",Phytotherapy research : PTR,"Mira Popović, Biljana Kaurinović, Svetlana Trivić, Neda Mimica-Dukić, Marija Bursać"," Faculty of Sciences, Chemistry Department, University of Novi Sad, Serbia and Montenegro. popovic@ih.ns.ac.yu",2006 Jul;20(7):531-7,10.1002/ptr.1871
16774805,20060901,article,"xref,mesh","Administration, Oral,Alanine Transaminase,Animals,Arsenic,Arsenic Poisoning,Aspartate Aminotransferases,Blood Urea Nitrogen,Body Burden,Catalase,Creatinine,Drinking,Kidney,Lipid Peroxidation,Liver,Male,Oxidative Stress,Rats,Rats, Wistar,Superoxide Dismutase,Water Supply","blood,drug effects,metabolism,pharmacokinetics,toxicity","D008099 Q000187 NY,D007668 Q000378 NN,D001219 Q000097 NN,D007668 Q000187 NY,D001151 Q000633 NY,D003404 Q000097 NN,D008099 Q000378 NN,D018384 Q000187 NY,D015227 Q000187 NY,D001151 Q000493 NN,D000410 Q000097 NN,D013482 Q000378 NN,D020261 Q000097 NY,D002374 Q000378 NN","588,602,5196,5960,6212","127638306,127719861,127788218,128047904,129046631",Oxidative stress indices and plasma biochemical parameters during oral exposure to arsenic in rats.,"An experiment was conducted to study the response of rat tissues to low level exposure of arsenic (III) for different time periods. Rats were exposed to 0 (Gr. I, healthy control, n=18) or 10 ppm arsenic (Gr. II, positive control, n=18) through drinking water ad lib for a maximum period of 12 weeks. Six rats were sacrificed from each group under light chloroform anesthesia at the end of 4, 8 and 12 weeks of arsenic exposure for collection of blood, liver and kidneys. Samples were processed for estimation of",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"D Nandi, R C Patra, D Swarup"," Environmental Medicine Laboratory, Division of Medicine, Indian Veterinary Research Institute, Izatnagar, Bareilly 243 122, UP, India.",2006 Sep;44(9):1579-84,10.1016/j.fct.2006.04.013
16980512,20070101,article,"xref,mesh","Animals,Baculoviridae,Cell Line,Escherichia coli,HMGB1 Protein,Inflammation,Interleukin-6,Macrophages,Mice,Nitric Oxide,Recombinant Proteins,Tumor Necrosis Factor-alpha","drug effects,drug therapy,genetics,immunology,metabolism,pharmacology,secretion","D015850 Q000378 NN,D008264 Q000378 NN,D008264 Q000557 NN,D004926 Q000235 NN,D008264 Q000276 NY,D024243 Q000494 NY,D009569 Q000378 NN,D008264 Q000187 NN,D016367 Q000235 NN,D007249 Q000188 NY,D024243 Q000378 NN,D014409 Q000557 NN,D011994 Q000494 NN","8259,33032,145068,6323481","128417629,129583715,245283296",Pivotal advance: analysis of proinflammatory activity of highly purified eukaryotic recombinant HMGB1 (amphoterin).,"HMGB1 (amphoterin) is a 30-kDa heparin-binding protein that mediates transendothelial migration of monocytes and has proinflammatory cytokine-like activities. In this study, we have investigated proinflammatory activities of both highly purified eukaryotic HMGB1 and bacterially produced recombinant HMGB1 proteins. Mass analyses revealed that recombinant eukaryotic HMGB1 has an intrachain disulphide bond. In mass analysis of tissue-derived HMGB1, two forms were detected: the carboxyl terminal glutamic acid r",Journal of leukocyte biology,"Ari Rouhiainen, Sarka Tumova, Leena Valmu, Nisse Kalkkinen, Heikki Rauvala"," Neuroscience Center, and Institute of Biotechnology, Viikinkaari 4, PL 56, University of Helsinki, Helsinki 00014, Finland. ari.rouhiainen@helsinki.fi",2007 Jan;81(1):49-58,10.1189/jlb.0306200
17032009,20061018,article,"xref,mesh","Cell Line,Embryo, Mammalian,Fermentation,Fibroblasts,Free Radical Scavengers,Humans,Hydrogen Peroxide,Hydroxyl Radical,Oxidative Stress,Plant Extracts,Superoxides,Tea","antagonists &amp; inhibitors,chemistry,drug effects,metabolism,pharmacology","D017665 Q000037 NN,D016166 Q000494 NY,D013662 Q000737 NY,D005347 Q000378 NY,D013481 Q000037 NN,D018384 Q000187 NY,D005347 Q000737 NN,D010936 Q000494 NY,D005347 Q000187 NN,D006861 Q000494 NN","180,263,784,6212,8857,5359597","127669892,128047904,128530390,129677094",Free radical scavenging effect of Pu-erh tea extracts and their protective effect on oxidative damage in human fibroblast cells.,"In the present study, we successively extracted the Pu-erh tea with acetone, water, chloroform, ethyl acetate, and n-butanol, and the extracts were then isolated by column chromatography. Our study demonstrates that the Pu-erh tea ethyl acetate extract, n-butanol extract, and their fractions had superoxide anion and hydroxyl radical scavenging activity: fractions 2 and 8 from the ethyl acetate extract and fractions 2, 4, and 5 from the n-butanol extract showed protective effects against hydrogen peroxide-in",Journal of agricultural and food chemistry,"Guoliang Jie, Zhi Lin, Longze Zhang, Haipeng Lv, Puming He, Baolu Zhao"," Zhejiang University Tea Research Institute, 268 Kaixuan Road, Hangzhou 310029, People's Republic of China.",2006 Oct;54(21):8058-64,10.1021/jf061663o
17177209,20070101,article,"xref,mesh","Acacia,Antimutagenic Agents,Antioxidants,Benzo(a)pyrene,Dose-Response Relationship, Drug,Escherichia coli,Flavonoids,Hydroxybenzoates,Mutagenicity Tests,Nitrofurans,Plant Extracts,Plant Leaves,SOS Response (Genetics),Sterols,Tannins","chemistry,drug effects,genetics,pharmacology,toxicity","D013634 Q000494 NN,D010936 Q000737 NN,D009581 Q000633 NN,D016587 Q000494 NY,D013261 Q000494 NN,D018515 Q000737 NY,D000975 Q000494 NN,D005419 Q000737 NN,D004926 Q000235 NN,D013261 Q000737 NN,D004926 Q000187 NN,D013014 Q000187 NN,D010936 Q000494 NY,D016587 Q000737 NN,D013634 Q000737 NN,D062385 Q000633 NN,D000975 Q000737 NN,D000045 Q000737 NY,D005419 Q000494 NN,D001564 Q000633 NN","2336,6212,8857,13764,5337997,16129778,56985250,136099022","127868578,128047904,129677094,129777585,135747250",Antigenotoxic activities of crude extracts from Acacia salicina leaves.,"For centuries, plants have been used in traditional medicines and there has been recent interest in the chemopreventive properties of compounds derived from plants. In the present study, we investigated the effects of extracts of Acacia salicina leaves on the genotoxicity of benzo[a]pyrene (B(a)P) and nifuroxazide in the SOS Chromotest. Aqueous, total oligomers flavonoids (TOF)-enriched, petroleum ether, chloroform, ethyl acetate, and methanol extracts were prepared from powdered Acacia leaves, and characte",Environmental and molecular mutagenesis,"Hédi B Mansour, Jihed Boubaker, Inès Bouhlel, Amor Mahmoud, Stéphane Bernillon, Jemni B Chibani, Kamel Ghedira, Leila Chekir-Ghedira"," Unité de Pharmacognosie/Biologie Moléculaire ""degrees 99/UR/07-03degrees"". Faculté de Pharmacie de Monastir. Rue Avicenne, 5000 Monastir, Tunisie.",2007 Jan;48(1):58-66,10.1002/em.20265
17201652,20060101,article,"xref,mesh","Antioxidants,Apoptosis,Biphenyl Compounds,Cell Division,Cornus,Emulsions,Endothelial Cells,Free Radical Scavengers,Humans,Hydrogen Peroxide,Hydroxyl Radical,Linoleic Acid,Oxidative Stress,Phosphates,Phytotherapy,Picrates,Plant Extracts,Umbilical Veins","chemistry,drug effects,pharmacology,physiology","D002455 Q000187 NN,D017209 Q000187 NN,D042783 Q000737 NN,D016166 Q000494 NY,D000975 Q000494 NN,D018384 Q000187 NY,D042783 Q000502 NN,D010936 Q000494 NY,D006861 Q000494 NN,D042783 Q000187 NY,D029768 Q000737 NY","702,784,1061,3931,6212,7095,8058,8857,2735032,5280450,5282457,5282797","128047904,128482492,128879156,129491807,129677094,129957312",Corni fructus scavenges hydroxy radicals and decreases oxidative stress in endothelial cells.,"Corni fructus has been used as a tonic, analgesic, and diuretic in Korean herbal medicine. The present investigation was undertaken to evaluate the antioxidative effect of corni fructus and its capacity to protect cells against oxidative damage. The radical scavenging activity of corni fructus extracts was measured using 1,1-diphenyl-2-picrylhydrazyl (DPPH), and the antioxidant activity was determined by measuring the peroxide value in a linoleic acid emulsion system. In addition, human umbilical vein endot",Journal of medicinal food,"Soon-Ok Lee, Sun Young Kim, Sag-Myung Han, Hye-Mi Kim, Seung-Shi Ham, Il-Jun Kang"," Hotel Cuisine, Korea Tourism College, Icheon, Korea.",2006 Jan;9(4):594-8,10.1089/jmf.2006.9.594
17208405,20070628,article,mesh,"Aged,Calibration,Carcinogens,Chromatography, High Pressure Liquid,Data Interpretation, Statistical,Esters,Female,Humans,Indicators and Reagents,Kidney Diseases,Male,Middle Aged,Ochratoxins,Portugal,Reference Standards,Renal Dialysis,Reproducibility of Results,Spectrometry, Fluorescence","blood,chemistry,metabolism","D007674 Q000097 NY,D009793 Q000097 NY,D004952 Q000737 NN,D002273 Q000378 NY","9344,442530",NULL,Ochratoxin A in nephropathic patients from two cities of central zone in Portugal.,"Ochratoxin A (OTA) produced by Aspergillus and Penicillium genera contaminates several foods. OTA is nephrotoxic to all animal species studied so far, and most likely to humans, who show the longest half-life for elimination of this toxin among all examined species. OTA has other toxic effects such as teratogenicity, immunotoxicity, genotoxicity, and is also mutagenic and carcinogenic, all of which lead to life-threatening pathologies through several molecular pathways. A sensitive, specific and rapid metho",Journal of pharmaceutical and biomedical analysis,"A M P Dinis, C M Lino, A S Pena"," Group of Bromatology-CEF, Faculty of Pharmacy, University of Coimbra, 3000 Coimbra, Portugal.",2007 Jun;44(2):553-7,10.1016/j.jpba.2006.12.001
