17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
16820187,20070101,article,"xref,mesh","Acetone,Acrolein,Aldehydes,Allylamine,DNA,DNA Damage,Fluorescence,Formaldehyde,Hydrocarbons, Brominated,Mutagens,Transition Temperature","analogs &amp; derivatives,chemistry,drug effects,genetics,toxicity","D000096 Q000031 NN,D044366 Q000187 NN,D000447 Q000633 NN,D000171 Q000633 NN,D005557 Q000633 NN,D004247 Q000235 NN,D004247 Q000737 NY,D000499 Q000633 NN,D009153 Q000633 NY,D006842 Q000633 NN,D000096 Q000633 NN","180,712,996,1140,6332,6571,7847,7853,8078,20138,447466,44135672","127569849,127669892,128056944,128215673,128614243,129112787,129532527,129674360,129861263",A fluorescence-based screening assay for DNA damage induced by genotoxic industrial chemicals.,"A rapid screening assay to detect chemically-induced DNA damage resulting from exposure of surrogate DNA to genotoxic compounds is reported. This assay is based on changes in the melting and annealing behavior observed for damaged DNA. Exposure of calf thymus DNA to genotoxic industrial chemicals reduced the extent to which the DNA annealed as measured using a double strand DNA selective fluorescent indicator dye. Formaldehyde, acrolein, crotonaldehyde and bromoethane showed the most prominent effects, chlo",Chemosphere,"S Kailasam, K R Rogers"," US EPA National Exposure Research Laboratory-LV, Environmental Protection Agency, 944 E. Harmon Ave., Las Vegas, NV 89119, USA.",2007 Jan;66(1):165-71,10.1016/j.chemosphere.2006.05.035
16899985,20060101,article,"xref,mesh","Acrolein,Allergens,Animals,Antioxidants,Asthma,Bronchial Hyperreactivity,Bronchial Provocation Tests,Bronchoalveolar Lavage Fluid,Dietary Supplements,Dinoprost,Disease Models, Animal,Eosinophils,Female,Hypersensitivity,Immunoglobulin E,Interleukin-4,Interleukin-5,Mice,Mice, Inbred BALB C,Ovalbumin,Oxidative Stress,Probucol,alpha-Tocopherol","analogs &amp; derivatives,analysis,biosynthesis,blood,chemistry,complications,cytology,drug effects,drug therapy,immunology,pathology,prevention &amp; control,therapeutic use","D006967 Q000150 NN,D015847 Q000276 NN,D004804 Q000276 NN,D001992 Q000276 NN,D001992 Q000166 NN,D018384 Q000187 NN,D007073 Q000097 NN,D015847 Q000096 NN,D000485 Q000276 NN,D024502 Q000097 NN,D001249 Q000276 NN,D004804 Q000187 NN,D015848 Q000276 NN,D015237 Q000031 NN,D010047 Q000276 NN,D001992 Q000737 NN,D007073 Q000187 NN,D000171 Q000032 NN,D015237 Q000096 NN,D000975 Q000627 NY,D011341 Q000097 NN,D016535 Q000517 NY,D011341 Q000627 NY,D001249 Q000473 NN,D001249 Q000517 NY,D016535 Q000276 NN,D015848 Q000096 NN","187,2117,4912,7847,11081,14985,86472,107873,115154,425400,443968,5280363,5280886,5282263,5283078,5289086,11305985,20849107,44208919,71312086","127918344,128011809,128056944,128814285,128981555,135963582",Effects of alpha tocopherol and probucol supplements on allergen-induced airway inflammation and hyperresponsiveness in a mouse model of allergic asthma.,"OBJECTIVE: We investigated the role of antioxidants in airway hyperresponsiveness to acetylcholine using young asthma model mice, which were sensitized and stimulated with ovalbumin. METHODS: The mice had been fed either a normal diet, an alpha-tocopherol-supplemented diet or a probucol-supplemented diet 14 days before the first sensitization. They were immunized with antigen at intervals of 12 days and, starting from 10 days after the second immunization, they were exposed to antigen 3 times every 4th day ",International archives of allergy and immunology,"Nami Okamoto, Takuji Murata, Hiroshi Tamai, Hiroyuki Tanaka, Hiroichi Nagai"," Department of Pediatrics, Osaka Medical College, Takatsuki City, Osaka Prefecture, Japan. ped029@poh.osaka-med.ac.jp",2006 Jan;141(2):172-80,10.1159/000094896
17198932,20070101,article,"xref,mesh","Acrolein,Administration, Oral,Adsorption,Animals,Biomarkers,Carbon,Chronic Disease,Creatinine,Disease Progression,Gastrointestinal Agents,Indican,Kidney Diseases,Male,Oxidative Stress,Oxides,Prognosis,Rats,Rats, Sprague-Dawley","administration &amp; dosage,analysis,blood,drug therapy,metabolism,urine","D007200 Q000032 NY,D005765 Q000008 NY,D010087 Q000008 NY,D003404 Q000097 NN,D007674 Q000188 NY,D002244 Q000008 NY,D000171 Q000652 NN,D007674 Q000378 NY,D015415 Q000032 NN","588,7847,10258,92769","127719861,128056944",Indoxyl sulfate-lowering capacity of oral sorbents affects the prognosis of kidney function and oxidative stress in chronic kidney disease.,"OBJECTIVES: Indoxyl sulfate shows nephrotoxicity and is a stimulating factor for progression of chronic kidney disease (CKD). This study was conducted to determine (1) whether the indoxyl sulfate-lowering capacity of oral sorbents (Kremezin [AST-120], Kureha Corporation, Tokyo, Japan; Merckmezin, Merck Hoei Ltd., Osaka, Japan) affects the prognosis of kidney function in CKD, and (2) whether oral sorbents reduce the markers of oxidative stress. METHODS: Rats with CKD were produced by 4/5 nephrectomy and were",Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation,"Kentaro Taki, Toshimitsu Niwa"," Department of Clinical Preventive Medicine, Nagoya University Hospital, Nagoya, Japan.",2007 Jan;17(1):48-52,10.1053/j.jrn.2006.10.007
17255567,20070401,article,"xref,mesh","Acrolein,Animals,Apoptosis,Case-Control Studies,Cell Culture Techniques,Endothelial Cells,Endothelium, Vascular,Epoprostenol,Humans,Lung,Mice,Mice, Transgenic,Pulmonary Emphysema,Smoking","adverse effects,blood supply,drug effects,etiology,metabolism,pathology,pharmacology,physiology,prevention &amp; control","D008168 Q000187 NN,D012907 Q000009 NY,D017209 Q000187 NN,D004730 Q000187 NY,D008168 Q000473 NN,D011464 Q000502 NY,D011656 Q000209 NN,D000171 Q000494 NY,D042783 Q000187 NN,D042783 Q000502 NN,D004730 Q000473 NN,D011656 Q000517 NY,D011656 Q000378 NY,D008168 Q000098 NN","527,7847,12035,114805,5280427,5282411,6364626,24868263,57057249,134692583","53787781,53788248,53789600,53790587,53790718,127350601,128056944,135867497,136060617",Prostacyclin prevents pulmonary endothelial cell apoptosis induced by cigarette smoke.,"RATIONALE: Impaired endothelial cell-dependent vasodilation, inflammation, apoptosis, and proliferation are manifestations of endothelial dysfunction in chronic obstructive pulmonary disease (COPD). Prostacyclin (PGI(2)) is a major product of the cyclooxygenase pathway with potent vasodilatory and antimitogenic properties and may be relevant to endothelial dysfunction in COPD. OBJECTIVES: To determine if PGI(2) expression is altered in smoking-related lung disease and if it may be protective in COPD-associa",American journal of respiratory and critical care medicine,"S Patrick Nana-Sinkam, Jong Deog Lee, Sylk Sotto-Santiago, Robert S Stearman, Robert L Keith, Qamrul Choudhury, Carlyne Cool, Jane Parr, Mark D Moore, Todd M Bull, Norbert F Voelkel, Mark W Geraci"," The Ohio State University, Division of Pulmonary, Allergy, Critical Care and Sleep Medicine, 201 Davis Heart and Lung Research Institute, 473 West 12th Avenue, Columbus, OH 43210, USA. patrick.nana-sinkam@osumc.edu",2007 Apr;175(7):676-85,10.1164/rccm.200605-724oc
17263919,20070101,article,"xref,mesh","Acrolein,Aldehydes,Animals,Atherosclerosis,Lipid Peroxidation,Lipoproteins, LDL,Muscle, Smooth, Vascular,Oxidative Stress,Phosphorylation,Receptor, Platelet-Derived Growth Factor beta","drug effects,metabolism,physiology,physiopathology,toxicity","D008077 Q000502 NY,D018384 Q000187 NN,D000447 Q000633 NN,D000171 Q000633 NN,D050197 Q000503 NY,D020797 Q000378 NN,D018384 Q000502 NN,D009131 Q000503 NY,D015227 Q000502 NY,D020797 Q000502 NY","7847,156288,5283344,91127900","53787583,128056944,128592556,245795304",Lipid oxidation products and oxidized low-density lipoproteins impair platelet-derived growth factor receptor activity in smooth muscle cells: implication in atherosclerosis.,"The platelet-derived growth factor receptor-beta (PDGFRbeta) signaling pathway regulates smooth muscle cell (SMC) migration and proliferation in the vascular wall. Oxidized low-density lipoproteins (oxLDLs) and 4-hydroxynonenal (4-HNE) induce a dual effect on PDGFRbeta signaling. Short-term incubation of SMCs with oxLDLs and 4-HNE induced PDGFRbeta activation. Long-term incubation triggered a desensitization of PDGFR to its own agonist, with a progressive inhibition of PDGFRbeta phosphorylation, associated ",Redox report : communications in free radical research,"Cecile Vindis, Isabelle Escargueil-Blanc, Koji Uchida, Meyer Elbaz, Robert Salvayre, Anne Negre-Salvayre"," INSERM U-466 and Biochemistry Department, IFR-3 1, CHU Rangueil, Toulouse, France.",2007 Jan;12(1):96-100,10.1179/135100007x162248
17315910,20070401,article,"xref,mesh","Acrolein,Amino Acid Sequence,Animals,Guanine Nucleotide Dissociation Inhibitors,Lipid Peroxidation,Male,Molecular Sequence Data,Nitric Oxide,Oxidation-Reduction,Oxidative Stress,Protein Processing, Post-Translational,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization,Spinal Cord Injuries,Tyrosine","analogs &amp; derivatives,analysis,chemistry,metabolism","D020730 Q000378 NY,D020730 Q000737 NN,D014443 Q000031 NN,D000171 Q000032 NN,D013119 Q000378 NY,D009569 Q000378 NY,D017382 Q000378 NY,D014443 Q000032 NN","6057,7847,145068,160450,3084398","128056944,128865459,128944637",Nitric oxide and oxygen radical attack on GDP-dissociation inhibitor 2 (GDI-2) in spinal cord injury of the rat.,"Protein oxidation and nitration have been described during spinal cord injury (SCI) in animal models. Herein, mass spectrometry unambiguously identified GDP-dissociation inhibitor-2 (GDI-2) in SCI with post-translational modifications of 3-aminotyrosine (8 h post-injury) and an acrolein adduct of GDI-2 (72 h post-injury). On the basis of mass spectrometry evidence, we conclude that lipid-peroxidation and protein nitration do take place on an important signalling protein that may be prevented by specific exp",Journal of proteome research,"Julius Paul Pradeep John, Oliver Pintsov, Alexander Petter-Puchner, Heinz Redl, Arnold Pollak, Wei-Qiang Chen, Gert Lubec"," Department of Pediatrics, Medical University of Vienna, Vienna, Austria.",2007 Apr;6(4):1500-9,10.1021/pr060620k
17519395,20070801,article,"xref,mesh","1-Propanol,Acrolein,Acrylamide,Acrylates,Alkenes,Animals,Butanones,Corpus Striatum,Cysteine,Dopamine,Ethylmaleimide,Male,Neurotoxicity Syndromes,Propanols,Quantum Theory,Rats,Rats, Sprague-Dawley,Synaptosomes","analogs &amp; derivatives,cytology,drug effects,etiology,metabolism,pharmacology,toxicity","D003545 Q000031 NY,D000475 Q000633 NY,D000433 Q000633 NN,D020106 Q000633 NN,D003545 Q000494 NY,D020258 Q000209 NN,D003342 Q000378 NN,D013574 Q000187 NN,D020258 Q000378 NY,D000171 Q000633 NN,D013574 Q000378 NN,D005033 Q000633 NN,D004298 Q000378 NN,D003342 Q000166 NN,D000179 Q000633 NN,D002074 Q000633 NN,D020005 Q000633 NN","594,681,1031,4362,5862,6570,6579,7294,7847,7858,12035,25150,65340,92851,92907,3713609,53395091,54179619","127487734,127498561,127902549,128044035,128056944,128103209,128977994,129465457,129544235,129724776,129742316,129755920",Neurotoxic mechanisms of electrophilic type-2 alkenes: soft soft interactions described by quantum mechanical parameters.,"Conjugated Type-2 alkenes, such as acrylamide (ACR), are soft electrophiles that produce neurotoxicity by forming adducts with soft nucleophilic sulfhydryl groups on proteins. Soft-soft interactions are governed by frontier molecular orbital characteristics and can be defined by quantum mechanical parameters such as softness (sigma) and chemical potential (mu). The neurotoxic potency of ACR is likely related to the rate of adduct formation, which is reflected in values of sigma. Correspondingly, differences",Toxicological sciences : an official journal of the Society of Toxicology,"Richard M LoPachin, Terrence Gavin, Brian C Geohagen, Soma Das"," Department of Anesthesiology, Albert Einstein College of Medicine, Montefiore Medical Center, 111 E. 210th St, Bronx, New York 10467, USA. lopachin@aecom.yu.edu",2007 Aug;98(2):561-70,10.1093/toxsci/kfm127
17582205,20070101,article,"xref,mesh","Acrolein,Albuminuria,Animals,Biomarkers,Carrier Proteins,Collagen Type IV,Deoxyguanosine,Diabetic Nephropathies,Hypertrophy,Kidney,Male,Mice,Mice, Inbred C57BL,Oxidative Stress,RNA, Messenger,Streptozocin,Thioredoxins,Transforming Growth Factor beta","analogs &amp; derivatives,analysis,chemically induced,chemistry,genetics,metabolism,pathology,toxicity,urine","D012333 Q000032 NN,D013879 Q000032 NN,D003928 Q000378 NY,D013311 Q000633 NN,D007668 Q000473 NN,D003849 Q000652 NN,D003928 Q000473 NN,D002352 Q000378 NY,D024141 Q000378 NN,D024141 Q000235 NN,D013879 Q000378 NY,D016212 Q000378 NN,D007668 Q000737 NN,D013879 Q000235 NN,D003928 Q000139 NN,D012333 Q000378 NN,D000171 Q000652 NN,D002352 Q000032 NN,D002352 Q000235 NN,D016212 Q000235 NN,D016212 Q000032 NN,D003849 Q000031 NN,D024141 Q000032 NN","311,5300,7847,29327,73318,187790,2733335,6420074,6713972,9882223,23615975,45357367,56842206,135398592,135433642","53789885,128056944,128423931,129806984,135758261,135790204",A possible role of thioredoxin interacting protein in the pathogenesis of streptozotocin-induced diabetic nephropathy.,"Oxidative stress has been suggested to play an important role in the pathogenesis of diabetic nephropathy because it increases under diabetic conditions and is known to induce cellular dysfunction in a wide variety of cells. To protect cells against oxidative stress, cells possess defensive mechanisms such as intracellular antioxidants. Although it has been reported that central enzymes in the antioxidative defense mechanisms of the cell are induced under hyperglycemic conditions, the oxidative stress level",The Kobe journal of medical sciences,"Yasuhiro Hamada, Masafumi Fukagawa"," Division of Nephrology and Dialysis Center, Kobe University Graduate School of Medicine, Kobe, Japan.",2007 Jan;53(?):53-61,NULL
17684094,20070814,article,"xref,mesh,assay","Acrolein,Aldehydes,Ankyrins,Calcium Channels,Cell Line,Cloning, Molecular,Humans,Inflammation,Pain,Patch-Clamp Techniques,TRPA1 Cation Channel,TRPC Cation Channels","analogs &amp; derivatives,chemically induced,drug effects,genetics,pharmacology,toxicity","D010146 Q000139 NY,D000171 Q000494 NN,D000171 Q000031 NN,D007249 Q000139 NY,D015220 Q000187 NY,D015220 Q000235 NN,D000447 Q000633 NY","5971,7847,65036,159055,637511,2733484,5283344,12480411,12480412,16218584,53421694","53786775,53787583,53787903,53789198,53790718,178102894","4-Hydroxynonenal, an endogenous aldehyde, causes pain and neurogenic inflammation through activation of the irritant receptor TRPA1.","TRPA1 is an excitatory ion channel expressed by a subpopulation of primary afferent somatosensory neurons that contain substance P and calcitonin gene-related peptide. Environmental irritants such as mustard oil, allicin, and acrolein activate TRPA1, causing acute pain, neuropeptide release, and neurogenic inflammation. Genetic studies indicate that TRPA1 is also activated downstream of one or more proalgesic agents that stimulate phospholipase C signaling pathways, thereby implicating this channel in perip",Proceedings of the National Academy of Sciences of the United States of America,"Marcello Trevisani, Jan Siemens, Serena Materazzi, Diana M Bautista, Romina Nassini, Barbara Campi, Noritaka Imamachi, Eunice Andrè, Riccardo Patacchini, Graeme S Cottrell, Raffaele Gatti, Allan I Basbaum, Nigel W Bunnett, David Julius, Pierangelo Geppetti"," Department of Critical Care Medicine and Surgery, Florence University, 4-50121 Florence, Italy.",2007 Aug;104(33):13519-24,10.1073/pnas.0705923104
17917163,20070901,review,"xref,mesh","Acrolein,Alzheimer Disease,Brain,Humans,Lipid Peroxidation,Metabolic Detoxication, Phase I,Mitochondria,Neurotoxins,Oxidative Stress","metabolism,pathology,physiology","D050216 Q000502 NN,D000171 Q000378 NN,D008928 Q000378 NY,D000544 Q000378 NY,D000544 Q000473 NN,D009498 Q000378 NY,D001921 Q000378 NN,D001921 Q000473 NN,D018384 Q000502 NN,D015227 Q000502 NN","7847,156288","127350601,128056944,128592556",Mitochondrial effects of lipid-derived neurotoxins.,"Mitochondria play a pivotal role in the life and death of cells and likely contribute importantly to the initiation or progression of many neurodegenerative disorders. Brain is especially vulnerable to lipid peroxidation because of its enrichment in polyunsaturated fatty acids relative to other organs. Multiple studies demonstrate the elevation of numerous lipid peroxidation products and ensuing lipid-derived carbonyls in Alzheimer's disease. In this review, we examine the data describing the effects of lip",Journal of Alzheimer's disease : JAD,"Matthew J Picklo, Thomas J Montine"," Department of Pharmacology, Physiology, and Therapeutics, University of North Dakota School of Medicine, Grand Forks, ND 58203, USA. mpicklo@medicine.nodak.edu",2007 Sep;12(2):185-93,NULL
17918169,20080301,article,"xref,mesh","Acrolein,Aldehydes,Animals,Cell Death,Copper Sulfate,Cyanides,Glycation End Products, Advanced,Glyoxal,Hepatocytes,Lipid Peroxidation,Male,Microsomes, Liver,Mitochondria,Oxidative Stress,Rats,Rats, Sprague-Dawley,Reactive Oxygen Species,Thiamine,Vitamin B 6,Vitamin B Complex","antagonists &amp; inhibitors,cytology,drug effects,metabolism,pharmacology","D000447 Q000494 NY,D016923 Q000187 NY,D013831 Q000494 NN,D008928 Q000187 NY,D022781 Q000378 NN,D000171 Q000494 NN,D025101 Q000494 NN,D003486 Q000494 NN,D017127 Q000494 NN,D017382 Q000378 NN,D008862 Q000378 NN,D015227 Q000187 NN,D022781 Q000166 NN,D017127 Q000037 NY,D018384 Q000187 NY,D014803 Q000494 NY,D022781 Q000187 NN,D008862 Q000187 NN,D006037 Q000494 NN,D019327 Q000494 NN","51,1050,1051,1060,1130,1132,6042,6202,7847,7860,10762,24462,24463,104817,574516,46856306,91146543","127476000,128056944,128350882,128415257,128470468,128478271,128700363,129099985,245932430","Preventing cell death induced by carbonyl stress, oxidative stress or mitochondrial toxins with vitamin B anti-AGE agents.","Carbonyls generated by autoxidation of carbohydrates or lipid peroxidation have been implicated in advanced glycation end product (AGE) formation in tissues adversely affected by diabetes complications. Tissue AGE and associated pathology have been decreased by vitamin B(1)/B(6) in trials involving diabetic animal models. To understand the molecular cytoprotective mechanisms involved, the effects of B(1)/B(6) vitamers against cytotoxicity induced by AGE/advanced lipid end product (ALE) carbonyl precursors (",Molecular nutrition & food research,"Rhea Mehta, Nandita Shangari, Peter J O'Brien"," Department of Pharmaceutical Sciences, Faculty of Pharmacy, University of Toronto, Toronto, ON, Canada.",2008 Mar;52(3):379-85,10.1002/mnfr.200600190
